Designator,Mid X,Mid Y,Rotation,Layer
C1,284.5,-330.25,0.0,top
C10,292.0,-254.0,270.0,top
C11,181.985,-294.315,0.0,top
C12,251.25,-293.5,0.0,top
C3,284.5,-328.29,0.0,top
C4,292.5,-289.25,180.0,top
C5,312.75,-255.75,180.0,top
C6,111.5,-294.5,0.0,top
C7,159.25,-278.0,180.0,top
C8,313.5,-285.0,180.0,top
C9,315.2,-278.5,180.0,top
D10,39.55,-105.0625,90.0,top
D11,39.2,-75.3125,90.0,top
D12,39.5,-45.5625,90.0,top
D13,69.2,-254.9875,90.0,top
D14,69.2,-225.1875,90.0,top
D15,69.45,-195.0625,90.0,top
D16,69.5,-165.3125,90.0,top
D17,69.5,-135.3125,90.0,top
D18,69.95,-105.0625,90.0,top
D19,69.45,-74.8125,90.0,top
D2,310.0,-265.0,90.0,top
D20,69.5,-45.3125,90.0,top
D21,129.75,-45.3125,90.0,top
D22,129.45,-75.1875,90.0,top
D23,129.45,-105.1875,90.0,top
D24,129.5,-135.3125,90.0,top
D25,129.5,-165.0625,90.0,top
D26,129.45,-195.5625,90.0,top
D27,129.2,-224.9375,90.0,top
D28,129.2,-255.3625,90.0,top
D29,99.5,-45.3125,90.0,top
D3,288.0,-314.0,0.0,top
D30,99.7,-75.0625,90.0,top
D31,99.45,-105.0625,90.0,top
D32,99.5,-135.0625,90.0,top
D33,99.5,-164.8125,90.0,top
D34,99.45,-195.0625,90.0,top
D35,99.2,-224.9375,90.0,top
D36,99.2,-254.9875,90.0,top
D37,189.75,-45.3125,90.0,top
D38,189.7,-74.8125,90.0,top
D39,189.45,-105.0625,90.0,top
D4,312.75,-253.0,0.0,top
D40,189.5,-135.0625,90.0,top
D41,189.5,-165.0625,90.0,top
D42,189.45,-195.0625,90.0,top
D43,189.2,-224.9375,90.0,top
D44,189.2,-254.9875,90.0,top
D45,159.5,-45.3125,90.0,top
D46,159.45,-74.8125,90.0,top
D47,159.45,-105.0625,90.0,top
D48,159.5,-135.0625,90.0,top
D49,159.5,-164.8125,90.0,top
D5,39.25,-255.0,90.0,top
D50,159.45,-195.0625,90.0,top
D51,159.2,-225.4375,90.0,top
D52,159.2,-255.4875,90.0,top
D53,250.0,-45.3125,90.0,top
D54,249.7,-75.1875,90.0,top
D55,249.45,-105.0625,90.0,top
D56,249.5,-135.0625,90.0,top
D57,249.5,-165.0625,90.0,top
D58,249.45,-194.8125,90.0,top
D59,249.2,-224.9375,90.0,top
D6,39.2,-224.8125,90.0,top
D60,249.2,-254.9875,90.0,top
